experiment,timestamp,config,params,epochs,train_time,mpjpe_p1_last,mpjpe_p1_best,p_mpjpe_last,p_mpjpe_best,loss_3d,delta_vs_baseline
B1_hypergcn,2026-07-01T21:36:48.882074,exp_B1_hypergcn.yaml,1478473,120,10974.6,47.72228446707527,46.446558927653456,38.81285873053849,38.39256067910712,0.015742,
B1_hypergcn_extend,2026-07-02T00:59:54.060208,exp_B1_hypergcn.yaml,1478473,130,12184.0,46.51725670340658,46.42207076574153,38.60689425466072,38.0568607819977,0.013559,
C1_ssi_msm,2026-07-03T07:46:42.999283,exp_C1_ssi_msm.yaml,1483300,120,110807.8,47.343104348356356,46.254478685929605,38.4114966555736,38.20845494813268,0.014651,
