experiment,timestamp,config,params,epochs,train_time,mpjpe_p1_last,mpjpe_p1_best,p_mpjpe_last,p_mpjpe_best,loss_3d,delta_vs_baseline
A1_baseline,2026-06-29T21:41:37.577692,exp_A1_baseline.yaml,1470211,30,30316.3,54.716929213574716,54.5480210422754,44.104494946065344,44.104494946065344,0.022406,
B1_hypergcn,,exp_B1_hypergcn.yaml,1478473,30,,54.413395763905,54.413395763905,44.67801466250329,44.58891558612734,0.022756,
C1_ssi_msm,2026-06-30T07:57:50.540361,exp_C1_ssi_msm.yaml,1483300,30,36971.6,53.99185647197614,53.99185647197614,44.34727048218302,44.34727048218302,0.022749,
